sentence_index,word_count,accuracy(1=correct),reverse_study_time/sec,user_id_from_FOWARD_study,r_user_id_from_REVERSE_study,perspective_ambiguity,block_ambiguity
1093,10,1,10.042517,203,605,neither,1
621,11,1,10.373968,66,223,neither,1
449,24,1,5.880495,244,122,agent,1
589,18,1,21.350931,36,384,ambiguous,2
626,11,1,7.60658,66,223,neither,1
256,16,1,7.534209,8,460,neither,1
1120,9,1,8.341365,202,469,neither ,1
1098,10,1,4.816385,203,397,neither,1
9,9,1,20.877275,216,102,ambiguous,2
3,8,1,9.121793,216,102,neither,1
130,10,1,5.402818,24,100,neither,1
1410,44,0,11.507917,912,108,agent,1
641,19,0,12.846508,67,100,ambiguous,3
47,21,1,10.061947,212,120,neither,2
88,15,1,14.359925,218,170,ambiguous,2
94,20,1,25.18155,218,407,ambiguous,2
1485,14,1,8.947584,904,121,agent,1
1551,9,0,8.943265,922,364,agent,2
104,37,0,167.321677,227,16,ambiguous,2
448,15,1,7.030511,7,471,ambiguous,1
624,11,1,4.948237,66,218,neither,1
625,11,1,18.277608,66,218,neither,1
1402,27,0,14.627541,912,401,ambiguous,3
660,30,1,11.368196,69,144,neither,2
861,26,1,9.070154,13,289,ambiguous,1
321,14,1,8.987004,89,406,ambiguous,2
497,11,1,6.75601,243,406,ambiguous,2
914,13,1,16.384237,18,517,ambiguous,2
1542,16,0,7.354107,922,540,ambiguous,2
725,15,1,14.638626,229,475,ambiguous,1
1449,26,1,68.078139,900,590,ambiguous,2
888,31,1,15.389673,14,607,agent,1
1324,18,1,13.860787,918,577,neither,2
1447,17,1,14.853727,900,590,ambiguous,1
881,14,1,9.022553,12,607,ambiguous,2
458,20,1,9.888522,244,262,ambiguous,2
277,6,1,6.30399,58,317,ambiguous,2
850,10,1,7.742286,220,102,neither,1
1214,6,1,4.519687,76,378,neither,1
1085,19,1,7.843145,200,18,ambiguous,2
1213,19,1,8.342431,76,272,ambiguous,1
1040,17,1,6.746151,41,371,neither,1
157,26,0,8.9967,20,113,ambiguous,3
1277,19,1,11.698294,71,100,neither,1
452,24,1,9.873407,244,331,agent,1
956,10,1,36.987608,230,365,agent,1
1577,10,1,5.12143,927,453,neither,1
287,11,1,2.438057,55,261,neither,1
1419,16,1,8.874785,902,405,ambiguous,1
566,12,1,4.004659,30,329,neither,2
1083,10,1,4.041825,200,170,neither,1
220,14,1,67.623565,29,448,ambiguous,1
559,23,0,17.809512,31,512,ambiguous,5
1089,9,1,6.215992,200,170,agent,1
719,8,1,2.39854,229,497,neither,1
1003,7,1,4.800118,48,226,neither,2
851,15,1,4.428076,220,467,ambiguous,2
722,8,0,3.638668,229,452,neither,1
921,10,1,3.367185,18,538,neither,1
813,13,1,13.000811,94,168,neither,1
1516,6,0,6.656285,908,380,neither,2
1369,11,1,6.149853,911,297,neither,1
1408,36,0,26.734302,912,435,agent,8
376,10,0,3.132516,86,108,agent,1
379,13,0,5.709316,87,108,ambiguous,3
947,10,1,4.759354,234,483,neither,1
1013,10,0,5.942783,49,438,neither,1
1039,18,0,5.454781,41,165,neither,3
1168,14,0,18.511438,209,518,agent,2
1044,17,0,34.044949,41,19,neither,2
151,10,1,10.605412,26,229,ambiguous,2
408,8,0,12.554686,85,169,agent,2
1403,31,0,14.597215,912,248,agent,4
1048,15,1,5.873533,41,494,agent,1
1441,11,1,6.14714,903,128,neither,2
82,17,0,9.566668,211,406,agent,1
1487,7,1,5.575683,904,581,neither,1
77,13,1,8.046685,211,148,agent,1
1058,11,0,6.21845,1,402,neither,1
72,13,1,20.731025,211,148,agent,1
978,7,1,3.66804,232,569,ambiguous,2
893,17,1,203.493054,14,219,agent,1
1056,11,1,5.824059,1,402,neither,1
130,10,1,6.733805,24,469,neither,1
897,14,0,31.81333,16,219,ambiguous,2
907,6,1,3.002455,16,497,neither,3
955,8,1,7.654416,230,419,agent,1
682,11,1,5.833886,251,536,agent,1
685,19,0,16.363969,251,536,agent,2
931,14,0,8.040071,238,605,ambiguous,2
560,12,0,31.226225,31,152,ambiguous,2
438,17,1,6.034473,7,234,neither,1
998,10,1,6.062241,48,101,ambiguous,2
1524,5,1,4.272023,908,477,neither,1
385,7,1,19.848117,87,321,neither,1
388,12,0,7.32554,87,321,agent,2
834,8,1,48.167508,221,436,neither,1
1109,16,0,27.61443,202,102,neither,1
587,13,0,12.531829,37,138,ambiguous,2
1288,14,1,5.427352,71,13,ambiguous,1
1550,9,0,9.598667,922,170,agent,1
908,9,1,8.759989,16,126,ambiguous,2
1147,10,1,4.526429,204,604,neither,1
1326,10,0,3.823693,918,401,neither,1
823,11,1,5.848288,94,286,ambiguous,2
822,9,1,7.328497,94,286,neither,1
74,11,1,20.013471,211,457,agent,1
406,9,1,9.457848,84,156,agent,2
1032,18,0,18.679362,40,161,ambiguous,2
640,15,1,6.706651,67,305,neither,1
1533,13,0,15.953238,909,145,agent,6
1075,27,0,14.799304,9,4,ambiguous,2
1021,26,1,14.95093,49,397,ambiguous,1
1490,8,1,15.789481,904,103,agent,1
1196,5,1,6.066716,77,219,ambiguous,2
1396,10,0,5.681794,913,452,ambiguous,2
1399,16,1,18.459057,913,366,ambiguous,1
712,12,1,11.702995,99,456,ambiguous,2
1120,9,0,2.868299,202,516,neither ,1
154,6,1,6.719517,26,267,ambiguous,2
1136,10,1,6.41377,204,109,neither,1
1394,11,1,5.00622,913,95,agent,1
247,7,0,35.754251,4,591,ambiguous,2
1391,8,1,3.968465,913,95,neither,1
72,13,1,56.859695,211,384,agent,1
419,8,1,5.576267,85,532,neither,1
77,13,0,57.965738,211,384,agent,1
990,24,1,21.388222,233,330,ambiguous,1
1334,13,1,10.525208,915,170,ambiguous,2
767,18,0,28.972483,226,414,ambiguous,1
996,11,0,16.703665,48,330,ambiguous,3
130,10,1,4.858086,24,227,neither,1
658,6,1,2.681678,68,540,ambiguous,2
36,20,1,22.566933,215,20,ambiguous,2
672,22,0,8.138785,69,165,agent,1
748,22,1,15.647205,91,243,neither,1
